brand	name	price	composition	link	image
H&M	High-waist Dress Pants	$31.99	['Polyester 95%', ' Elastane 5%', 'additional: Recycled polyester from textiles 49%, Recycled polyester 46%']	https://www2.hm.com/en_ca/productpage.1091186001.html	https://lp2.hm.com/hmgoepprod?set=source[/37/7f/377f1997e8c143d7c78ad1bfd1e5f7abb7ce0dca.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]
H&M	Wide-leg Joggers	$29.99	['Cotton 60%', ' Polyester 40%', 'additional: Recycled polyester 36%, Recycled cotton 29%']	https://www2.hm.com/en_ca/productpage.1188938001.html	https://lp2.hm.com/hmgoepprod?set=source[/4f/96/4f966c80a226875af2b1e1f2044b04701df2c900.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]
H&M	Slacks	$24.99	['Polyester 50%', ' Cotton 47%', ' Elastane 3%', 'additional: Recycled polyester 40%, Recycled polyester from textiles 5%']	https://www2.hm.com/en_ca/productpage.0751471001.html	https://lp2.hm.com/hmgoepprod?set=source[/14/19/141961c59bc644f446a992018fb010550b005fa1.jpg],origin[dam],category[ladies_trousers_chinosslacks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]
H&M	Wide-leg Pants	$46.99	['Polyester 64%', ' Viscose 32%', ' Elastane 4%', 'additional: Recycled polyester 61%, LivaEco\\u2122 Viscose 30%, Recycled polyester from textiles 3%']	https://www2.hm.com/en_ca/productpage.1176512009.html	https://lp2.hm.com/hmgoepprod?set=source[/6d/42/6d42c163e83f50a52b28f133f85ddff8e0e5d5d2.jpg],origin[dam],category[ladies_trousers_highwaisted],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]
H&M	Jersey Pants	$12.99	['Polyester 60%', ' Metallised fibre 30%', ' Elastane 10%', 'additional: Recycled polyester 60%']	https://www2.hm.com/en_ca/productpage.1195434003.html	https://lp2.hm.com/hmgoepprod?set=source[/d5/d4/d5d4fa1fa2ec5b250148126b7d022de24fe6c909.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]
H&M	3-pack Joggers	$34.99	['Cotton 95%', ' Viscose 5%', 'additional: Organic cotton 72%, Recycled cotton 25%']	https://www2.hm.com/en_ca/productpage.0738873019.html	https://lp2.hm.com/hmgoepprod?set=source[/78/07/780706f9ffae71cf036c4c4b5bece363a82d9324.jpg],origin[dam],category[kids_boys_clothing_trousersjeans_joggerssweatpants],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]
H&M	3-pack Joggers	$34.99	['Cotton 100%', 'additional: Organic cotton 73%, Recycled cotton 25%']	https://www2.hm.com/en_ca/productpage.0738873048.html	https://lp2.hm.com/hmgoepprod?set=source[/73/82/7382a5d14be04d01d043aac9ef7b06e349a36b0a.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]
H&M	Cotton-blend Sweatpants	$19.99	['Cotton 60%', ' Polyester 40%']	https://www2.hm.com/en_ca/productpage.0932722001.html	https://lp2.hm.com/hmgoepprod?set=source[/04/dd/04dd5b11262ad00bd6de6a9755994e60340f97f2.jpg],origin[dam],category[ladies_trousers_highwaisted],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]
H&M	High Waist Joggers	$29.99	['Cotton 59%', ' Polyester 41%']	https://www2.hm.com/en_ca/productpage.0975845001.html	https://lp2.hm.com/hmgoepprod?set=source[/5c/b9/5cb922f69fc1fd8abf18fd0930e765ef4d5bc95b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]
H&M	2-pack Regular Fit Sweatpants	$49.99	['Cotton 72%', ' Polyester 24%', ' Viscose 4%']	https://www2.hm.com/en_ca/productpage.0970816009.html	https://lp2.hm.com/hmgoepprod?set=source[/7e/08/7e082946dd5b3c681ee82e0ea1eeb45eb8937122.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]
Aritzia	The Effortless Pant™	$148	['100% polyester']	https://www.aritzia.com/en/product/the-effortless-pant%E2%84%A2/77775.html?dwvar_77775_color=1274	https://aritzia.scene7.com/is/image/Aritzia/medium/f23_04_a06_77775_1274_on_a.jpg
Aritzia	Markova Pant	$148	['61% recycled polyester', '26% LENZING™ ECOVERO™ Viscose', '7% cotton', '6% elastane']	https://www.aritzia.com/en/product/markova-pant/106955.html?dwvar_106955_color=1274	https://aritzia.scene7.com/is/image/Aritzia/medium/s23_01_a06_106955_1274_off_a.jpg
Aritzia	The Effortless Pant™	$148	['100% polyester']	https://www.aritzia.com/en/product/the-effortless-pant%E2%84%A2/77775.html?dwvar_77775_color=1274_2	https://aritzia.scene7.com/is/image/Aritzia/medium/f23_04_a06_95188_1274_on_a.jpg
Aritzia	New Supply Cargo Pant	$128	['100% cotton']	https://www.aritzia.com/en/product/new-supply-cargo-pant/109818.html?dwvar_109818_color=13317	https://aritzia.scene7.com/is/image/Aritzia/medium/f23_03_a06_109818_13317_on_a.jpg
Aritzia	Squad Pocket Parachute Pant	$128	['70% cotton', '30% nylon']	https://www.aritzia.com/en/product/squad-pocket-parachute-pant/109394.html?dwvar_109394_color=1274	https://aritzia.scene7.com/is/image/Aritzia/medium/f23_03_a06_109567_1274_on_a.jpg
Aritzia	Emerson Pant	$138	['52% elastomultiester', '48% polyester']	https://www.aritzia.com/en/product/emerson-pant/107651.html?dwvar_107651_color=1274	https://aritzia.scene7.com/is/image/Aritzia/medium/f23_00_a06_107651_1274_on_a.jpg
Aritzia	Picture Cargo Pant	$128	['74% cotton', '24% lyocell', '2% elastane']	https://www.aritzia.com/en/product/picture-cargo-pant/113872.html?dwvar_113872_color=1274	https://aritzia.scene7.com/is/image/Aritzia/medium/f23_07_a06_113872_1274_off_a.jpg
Aritzia	Troop Cargo Pant	$98	['100% cotton']	https://www.aritzia.com/en/product/troop-cargo-pant/83374.html?dwvar_83374_color=13317	https://aritzia.scene7.com/is/image/Aritzia/medium/f23_03_a06_83374_13317_on_a.jpg
Aritzia	Cozy Fleece Mega Sweatpant™	$75	['78% cotton', '22% polyester']	https://www.aritzia.com/en/product/cozy-fleece-mega-sweatpant%E2%84%A2/91896.html?dwvar_91896_color=1274	https://aritzia.scene7.com/is/image/Aritzia/medium/f23_03_a06_91896_1274_on_a.jpg
Aritzia	Souvenir Pant	$110	['62% LENZING™ ECOVERO™ Viscose', '38% polyester']	https://www.aritzia.com/en/product/souvenir-pant/112194.html?dwvar_112194_color=1274	https://aritzia.scene7.com/is/image/Aritzia/medium/f23_07_a06_112194_1274_on_a.jpg
Ardene	Black Cargo Parachute Pants	$44.90	['97% cotton', '3% spandex']	https://www.ardene.com/ca/en/black-cargo-parachute-pants/495-R-4A.html?dwvar_495-R-4A_color=4A-AP30503-09&cgid=#cgid=&start=1	https://cdn-us-ec.yottaa.net/5c758b212bb0ac6896c96f4e/www.ardene.com/v~4b.30/on/demandware.static/-/Sites-master-catalog/default/dw981dc6b8/images/large/4A-AP30503-09-6335c965-65eb-44c7-89b3-ed488142f555.jpg?yocs=p_s_
Ardene	Flare Crepe Knit Pants	$26.90	['97% polyester', '3% spandex']	https://www.ardene.com/ca/en/flare-crepe-knit-pants/PK1638R1-4A.html?dwvar_PK1638R1-4A_color=4A-AP30601-02&cgid=#cgid=&start=2	https://cdn-us-ec.yottaa.net/5c758b212bb0ac6896c96f4e/www.ardene.com/v~4b.30/on/demandware.static/-/Sites-master-catalog/default/dw9802911a/images/large/4A-AP30601-02-1d03c051-6656-4109-bf2d-4d0a02b8a931.jpg?yocs=p_s_
Ardene	Cargo Pants with Zippers	$44.90	['100% cotton']	https://www.ardene.com/ca/en/cargo-pants-with-zippers/70097JADTR2-4A.html?dwvar_70097JADTR2-4A_color=4A-AP32621-01&dwvar_70097JADTR2-4A_size=xs&cgid=#cgid=&start=3	https://cdn-us-ec.yottaa.net/5c758b212bb0ac6896c96f4e/www.ardene.com/v~4b.30/on/demandware.static/-/Sites-master-catalog/default/dw857e8cf7/images/large/4A-AP32621-01-ce5adf87-1e4e-4053-8e37-ac42d565e2ce.jpg?yocs=p_s_
Ardene	Cargo Track Pants	$44.90	['90% nylon', '10% elastane']	https://www.ardene.com/ca/en/cargo-track-pants/PW1863-4A.html?dwvar_PW1863-4A_color=4A-AP31071-02&cgid=#cgid=&start=4	https://cdn-us-ec.yottaa.net/5c758b212bb0ac6896c96f4e/www.ardene.com/v~4b.30/on/demandware.static/-/Sites-master-catalog/default/dw9121f19e/images/large/4A-AP31071-02-13653b5c-c010-4148-aeee-cee547f78fed.jpg?yocs=p_s_
Ardene	Low Rise Wide Leg Tailored Pants	$39.90	['74% polyester', '23% viscose', '3% elastane']	https://www.ardene.com/ca/en/low-rise-wide-leg-tailored-pants/PW1836-4A.html?dwvar_PW1836-4A_color=4A-AP30848-02&cgid=#cgid=&start=5	https://cdn-us-ec.yottaa.net/5c758b212bb0ac6896c96f4e/www.ardene.com/v~4b.30/on/demandware.static/-/Sites-master-catalog/default/dwf447ea91/images/large/4A-AP30848-02-05a3e764-2047-4937-b09f-52919bc32a79.jpg?yocs=p_s_
Ardene	Canvas Cargo Pants	$44.90	['100% cotton']	https://www.ardene.com/ca/en/canvas-cargo-pants/PW1810-4A.html?dwvar_PW1810-4A_color=4A-AP30174-10&dwvar_PW1810-4A_size=1&cgid=#cgid=&start=6	https://cdn-us-ec.yottaa.net/5c758b212bb0ac6896c96f4e/www.ardene.com/v~4b.30/on/demandware.static/-/Sites-master-catalog/default/dwdd28ac88/images/large/4A-AP30174-10-0f9835f1-6b5a-4c1d-bfd3-cc077c2e0d3b.jpg?yocs=p_s_
Ardene	Wide Leg Tie Waist Pants	$32.90	['96% polyester', '4% spandex']	https://www.ardene.com/ca/en/wide-leg-tie-waist-pants/PW1585R2-4A.html?dwvar_PW1585R2-4A_color=4A-AP30168-10&dwvar_PW1585R2-4A_size=xs&cgid=#cgid=&start=7	https://cdn-us-ec.yottaa.net/5c758b212bb0ac6896c96f4e/www.ardene.com/v~4b.30/on/demandware.static/-/Sites-master-catalog/default/dwb3f641ed/images/large/4A-AP30168-10-e4141ed6-94e3-4dc8-ab84-480f9029eb36.jpg?yocs=p_s_
Ardene	High Rise Track Pants	$44.90	['100% polyester']	https://www.ardene.com/ca/en/high-rise-track-pants/PW1837-4A.html?dwvar_PW1837-4A_color=4A-AP30857-02&cgid=#cgid=&start=8	https://cdn-us-ec.yottaa.net/5c758b212bb0ac6896c96f4e/www.ardene.com/v~4b.30/on/demandware.static/-/Sites-master-catalog/default/dw22599a39/images/large/4A-AP30857-02-177e4b60-3ead-43f9-ba50-790a8112ad87.jpg?yocs=p_s_
Ardene	Regular Rise Nylon Cargo Pants	$44.90	['100% polyamide']	https://www.ardene.com/ca/en/regular-rise-nylon-cargo-pants/PW1849-4A.html?dwvar_PW1849-4A_color=4A-AP30863-10&dwvar_PW1849-4A_size=xs&cgid=#cgid=&start=9	https://cdn-us-ec.yottaa.net/5c758b212bb0ac6896c96f4e/www.ardene.com/v~4b.30/on/demandware.static/-/Sites-master-catalog/default/dw65f2ea30/images/large/4A-AP30863-10-5bc88d3e-958f-4a34-a4ab-f91602272e25.jpg?yocs=p_s_
Ardene	Balloon Parachute Pants	$44.90	['100% cotton']	https://www.ardene.com/ca/en/balloon-parachute-pants/69961JADTR1-3B.html?dwvar_69961JADTR1-3B_color=3B-AP32915-07&cgid=#cgid=&start=10	https://cdn-us-ec.yottaa.net/5c758b212bb0ac6896c96f4e/www.ardene.com/v~4b.30/on/demandware.static/-/Sites-master-catalog/default/dw46fca496/images/large/3B-AP32915-07-b960302b-1f8b-4ca5-bfdd-a3c3d4d44854.jpg?yocs=p_s_
